text,fault_category,source_dataset,source_file
"Thermaltake View 51 TG ARGB Midi-Tower, Tempered Glass - white",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake View 71 TG Big-Tower, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake View 71 TG RGB Big-Tower, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake View 71 TG RGB Plus Big-Tower, Tempered Glass - black",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
"Thermaltake View 71 TG Snow Big-Tower, Tempered Glass - white",overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
Thermaltake View 91 TG RGB Super Tower - black,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\CaseData.csv
PNY GeForce RTX 3060 XLR8 Gaming Revel EPIC-X RGB Single Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
PNY GeForce RTX 4080 XLR8 Gaming VERTO Triple Fan Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
Gigabyte GeForce GTX 1080 Xtreme Gaming Water Cooling,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
Gigabyte Radeon RX Vega 64 Watercooling 8G,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
INNO3D GeForce GTX 1070 Ti Jet-Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
PNY GeForce GTX 1070 XLR8 OC Gaming Dual Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
PNY GeForce RTX 2060 SUPER XRL8 OC Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
PNY GeForce RTX 2080 XLR8 Gaming OC Triple Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
PNY GeForce RTX 2080 XLR8 Gaming OC Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
Sapphire Radeon HD 6970 Dual Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
Sapphire Radeon RX Vega 64 Liquid Cooling,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Dual Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Dual Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Passive Heatsink Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Passive Heatsink Edition,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Single Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 460 Single Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 550 Single Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
XFX Radeon RX 550 Single Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce GTX 1650 Super Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce GTX 1660 Super Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce GTX 1660 Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce RTX 2060 Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce RTX 2080 Super Triple Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce RTX 2080 Super Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce RTX 2080 Ti Triple Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
ZOTAC GAMING GeForce RTX 2080 Ti Twin Fan,overheating,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\GPUData.csv
Seagate Archive Hard Drive ST6000AS0002 6TB 5900rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Archive Hard Drive ST8000AS0002 8TB 5900rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Compute Hard Drive 2 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Barracuda Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Barracuda Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Barracuda Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 1 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 1 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 2 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 3 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 3 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 4 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 4 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 5 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 6 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive 1 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive 12 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive 14 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive 2 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive ST10000DM0004,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate BarraCuda Pro Hard Drive ST8000DM005,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Desktop Hard Drive ST3000DM001,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Desktop Hard Drive ST5000DM002,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Desktop Hard Drive ST6000DM001,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise Hard Drive v5,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise NAS Hard Drive ST2000VN0001 2TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise NAS Hard Drive ST4000VN0001 4TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise NAS Hard Drive ST5000VN0001 5TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise NAS Hard Drive ST6000VN0001 6TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Enterprise NAS Hard Drive ST8000NE0001 8TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos 7E2 Hard Drive 2 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos 7E8 Hard Drive 2 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos 7E8 Hard Drive 4 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos 7E8 Hard Drive 6 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos 7E8 Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos E 7E8 Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X10 Hard Drive 10 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X14 Hard Drive 12 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X16 Hard Drive 12 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X16 Hard Drive 14 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X16 Hard Drive 16 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Exos X16 Hard Drive 18 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 1 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 10 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 12 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Ironwolf Hard Drive 14 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 16 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 6 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 6 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf NAS Hard Drive ST10000VN0004,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf NAS Hard Drive ST2000VN004,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf NAS Hard Drive ST3000VN007,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf NAS Hard Drive ST4000VN008,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf NAS Hard Drive ST6000VN0041,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 10 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 12 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 14 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 16 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 4 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro NAS Hard Drive ST6000NE0021 6TB 7200rpm 256MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate IronWolf Pro NAS Hard Drive ST8000NE0021 8TB 7200rpm 256MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Mobile Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Mobile Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate NAS Hard Drive ST2000VN000 2TB 5900rpm 64MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive 3 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive 4 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive 6 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Skyhawk Hard Drive 8 TB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive ST1000VX005,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive ST2000VX008,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate SkyHawk Hard Drive ST6000VX0023,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive ST1000VX000,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive ST1000VX003,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive ST2000VX000,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive ST4000VX000,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Surveillance Hard Drive ST8000VX0002,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Seagate Video 3.5 Hard Drive ST2000VM003,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Toshiba Cloud Hard Drive MC04ACA200E 2TB 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Toshiba Cloud Hard Drive MC04ACA300E 3TB 128MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Toshiba Surveillance Hard Drive MD03ACA200V 2TB 64MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Toshiba Surveillance Hard Drive MD03ACA300V 3TB 64MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Toshiba Surveillance Hard Drive MD03ACA400V 4TB 64MB,storage_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\HDDData.csv
Lamptron HM101 - Hardware Monitor und virtuelle Tastatur,display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MonitorData.csv
Lamptron HM101 Hardware Monitor,display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MonitorData.csv
Lamptron HM140 - Hardware Monitor,display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MonitorData.csv
Lamptron HX070 - Hardware Monitor,display_gpu_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MonitorData.csv
ASRock 970 PRO3 R2.0 GL/SATA600/R/USB3.0 970,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS A88X-Pro SATA600/R/eSATA/USB3.0/DVI/HDMI/VGA/DP A88X,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B150I-PRO Gaming/Aura USB3.0/M.2/HDMI/DVI Mini-ITX,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B150M-A GL/USB3.1/SATA600/HDMI/VGA/DVI B150,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS MAXIMUS VIII Impact USB3.1/SATA600/U.2/WIFI/BT/HDMI Mini-ITX,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
Asus ROG RAMPAGE VI EXTREME,ram_failure,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
Gigabyte GA-B150M-DS3H GL/USB3.0/M.2/HDMI/DVI/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
Gigabyte GA-F2A68HM-DS2 GL/SATA600/R/DVI/VGA/USB3.0 A68H,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
Gigabyte GA-H81M-S2V GL/SATA600/USB3.0/DVI/VGA H81,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
MSI H81M-E34 GL/SATA600/USB3.0/DVI/HDMI/VGA H81,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
MSI H81M-P33 GL/SATA600/USB3.0/DVI/VGA H81,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock C236 WSI 2xLAN/SATA600/USB3.0/DP/HDMI/VGA Mini ITX,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock C236M WS 2xLAN/SATA600/USB3.0/DP/HDMI/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock E3V5 WS SATA600/USB3.0 C232,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock FM2A88X+ BTC Bitcoin GL/SATA600/USB3.0/DVI/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock G41M-VS3 R2.0 IDE(PATA)/SATA/USB2.0/VGA G41 GMA X4500,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock Z170 OC Formula USB3.1/DP/HDMI/M.2/SATAe,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock Z170 Pro4/D3 USB3.0/SATA600/DVI/HDMI/M.2/SATAe,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock Z170M Pro4S USB3.0/SATA600/DVI/HDMI/M.2,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASRock Z87 Pro4 GL/SATA600/R/USB3.0/DVI/2x HDMI/VGA Z87,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS A68HM-K GL/SATA600/R/USB3.0/DVI/VGA A68X,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS A88X-Plus/USB3.1 GL/SATA600/R/USB3.0/DVI/HDMI/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS A88XM-E USB 3.1,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS A88XM-Plus GL/SATA600/R/USB3.0/DVI/HDMI/VGA A88X,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B150-PRO Gaming USB3.1/M.2/SATA600/HDMI/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B150M-PRO Gaming USB3.0/M.2/SATA600/HDMI,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B85-Plus (C2) GL/USB3.0/SATA600/R/DVI/VGA B85,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B85M-E GL/USB3.0/SATA600/R/DVI/HDMI/VGA/DP B85,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B85M-G GL/USB3.0/SATA600/R/DVI/HDMI/VGA B85,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B85M-G/USB3.1 SATA600/R/DVI/HDMI/VGA B85,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS B85M-Gamer GL/USB3.0/SATA600/HDMI/VGA B85,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS H110M-PLUS USB3.1/GL/SATA600/DVI/VGA/HDMI,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS H170-PRO USB 3.1,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS H81-Plus GL/USB3.0/SATA600/R/VGA/Parallel/Seriell H81,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS H81I-Plus GL/USB3.0/SATA600/HDMI/DVI/VGA H81 Mini-ITX,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS M5A78L-M LE/USB3 GL/SATA300/DVI/VGA/Seriell 760G,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS M5A78L-M PLUS/USB3,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS M5A97 LE R2.0 GL/SATA600/R/USB3.0 AMD970,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS M5A97 R2.0 GL/SATA600/R/USB3.0 AMD970,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS M5A99X EVO R2.0 GL/SATA600/R/eSATA/USB3.0 AMD990X,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS P10S WS 2x GL/USB3.0/SATA600/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
ASUS P10S-V/4L 4x GL/USB3.0/SATA600/VGA,peripheral_issue,General Computer Hardware Dataset (Dilshaan Sandhu),computer_hardware\MotherboardData.csv
